7–11 Apr 	35% 	35% 	30% 	N/A 	1,198 	TNS 	Online 	
8–10 Apr 	45% 	38% 	17% 	7% 	1,002 	ComRes 	Telephone 	
8–10 Apr 	42% 	45% 	12% 	3% 	2,030 	ICM 	Online 	
7 April 	HM Government starts sending a pro-Remain pamphlet to 27 million UK households and begins a pro-Remain digital advertising campaign.[38][39]
6–7 Apr 	40% 	38% 	16% 	2% 	1,612 	YouGov 	Online 	Remainder "won't vote"
29 Mar–4 Apr 	39% 	38% 	18% 	1% 	3,754 	YouGov 	Online 	Remainder "won't vote"
1–3 Apr 	44% 	43% 	13% 	1% 	2,007 	ICM 	Online 	
29 Mar–3 Apr 	51% 	44% 	5% 	7% 	800 	ORB 	Telephone 	
29 Mar–1 Apr 	39% 	43% 	18% 	4% 	1,966 	Opinium 	Online 	
24–29 Mar 	35% 	35% 	30% 	N/A 	1,193 	TNS 	Online 	
24–29 Mar 	41% 	45% 	14% 	4% 	1,518 	BMG Research 	Online 	Includes Northern Ireland
24–28 Mar 	51% 	49% 	N/A 	2% 	2,002 	ORB 	Online 	
22–24 Mar 	45% 	43% 	12% 	2% 	1,970 	ICM 	Online 	Original poll is no longer available on ICM Unlimted
19–22 Mar 	49% 	41% 	10% 	8% 	1,023 	Ipsos MORI 	Telephone 	
17–22 Mar 	40% 	37% 	19% 	3% 	1,688 	YouGov 	Online 	Remainder "won't vote"
18–20 Mar 	48% 	41% 	11% 	7% 	1,002 	ComRes 	Telephone 	
18–20 Mar 	41% 	43% 	17% 	2% 	2,000 	ICM 	Online 	
17–19 Mar 	46% 	35% 	19% 	11% 	1,006 	Survation 	Telephone 	Includes Northern Ireland
11–14 Mar 	47% 	49% 	4% 	2% 	823 	ORB 	Telephone 	
11–13 Mar 	43% 	41% 	16% 	2% 	2,031 	ICM 	Online 	
4–11 Mar 	45% 	40% 	16% 	5% 	2,282 	Greenberg Quinlan Rosner Research 	Online 	
2–10 Mar 	48% 	45% 	7% 	3% 	4,047 	Populus/Number Cruncher Politics 	Online 	
4–6 Mar 	49% 	35% 	15% 	14% 	966 	Populus/Number Cruncher Politics 	Telephone 	
4–6 Mar 	40% 	41% 	19% 	1% 	2,051 	ICM 	Online 	
2–3 Mar 	40% 	37% 	18% 	3% 	1,695 	YouGov 	Online 	
1–2 Mar 	40% 	35% 	19% 	5% 	1,705 	YouGov 	Online 	
29 Feb–1 Mar 	39% 	37% 	19% 	2% 	2,233 	YouGov 	Online 	
26–29 Feb 	41% 	41% 	18% 	N/A 	2,003 	ICM 	Online 	
26–28 Feb 	39% 	45% 	18% 	6% 	2,071 	Populus/Number Cruncher Politics 	Online 	
26–28 Feb 	48% 	37% 	15% 	11% 	1,002 	Populus/Number Cruncher Politics 	Telephone 	
24–25 Feb 	48% 	52% 	N/A 	4% 	2,014 	ORB 	Online 	
21–23 Feb 	37% 	38% 	25% 	1% 	3,482 	YouGov 	Online 	
20 Feb 	David Cameron announces the date of UK's In/Out EU referendum after an EU summit in Brussels.[40]
17–23 Feb 	38% 	36% 	25% 	2% 	1,517 	BMG Research 	Online 	Includes Northern Ireland
19–22 Feb 	42% 	40% 	17% 	2% 	2,021 	ICM 	Online 	
19–22 Feb 	51% 	39% 	10% 	12% 	1,000 	ComRes 	Telephone 	
13–20 Feb 	45% 	32% 	23% 	13% 	938 	Survation 	Telephone 	
18–19 Feb 	40% 	41% 	19% 	1% 	1,033 	Opinium 	Online 	Conducted before the conclusion of the negotiations; exact time frame was not communicated
13–16 Feb 	54% 	36% 	10% 	18% 	497 	Ipsos MORI 	Telephone 	
11–15 Feb 	36% 	39% 	25% 	3% 	1,079 	TNS 	Online 	
12–14 Feb 	43% 	39% 	18% 	4% 	2,001 	ICM 	Online 	Original poll is no longer available on ICM Unlimted
11–14 Feb 	49% 	41% 	10% 	8% 	1,105 	ComRes 	Telephone 	
5–7 Feb 	41% 	42% 	17% 	1% 	2,018 	ICM 	Online 	
3–4 Feb 	36% 	45% 	19% 	9% 	1,675 	YouGov/The Times 	Online 	
29–31 Jan 	42% 	39% 	19% 	3% 	2,002 	ICM 	Online 	
27–28 Jan 	38% 	42% 	20% 	4% 	1,735 	YouGov 	Online 	
23–25 Jan 	55% 	36% 	9% 	19% 	513 	Ipsos MORI 	Telephone 	
21–25 Jan 	44% 	42% 	14% 	2% 	1,511 	BMG Research 	Online 	Includes Northern Ireland
22–24 Jan 	54% 	36% 	10% 	18% 	1,006 	ComRes 	Telephone 	
22–24 Jan 	41% 	41% 	18% 	N/A 	2,010 	ICM 	Online 	
20–21 Jan 	52% 	48% 	N/A 	4% 	2,015 	ORB 	Online 	
15–17 Jan 	42% 	40% 	17% 	2% 	2,023 	ICM 	Online 	
15–16 Jan 	38% 	40% 	22% 	2% 	1,017 	Survation 	Online 	Includes Northern Ireland
8–14 Jan 	42% 	45% 	12% 	3% 	2,087 	Panelbase 	Online 	
8–10 Jan 	44% 	38% 	18% 	6% 	2,055 	ICM 	Online 	
